Govt_ID,Name,Role,Level,Assigned_Station
GOVT0001,Amit Sharma,Freight_Operator,1,STN004
GOVT0002,Neha Verma,Freight_Operator,1,STN046
GOVT0003,Rahul Singh,Section_Controller,1,STN043
GOVT0004,Priyanka Iyer,Freight_Operator,1,STN006
GOVT0005,Anil Mehta,Track_Manager,1,STN091
GOVT0006,Seema Gupta,Section_Controller,1,STN093
GOVT0007,Vikram Batra,Track_Manager,1,STN037
GOVT0008,Shweta Rani,Station_Master,1,STN074
GOVT0009,Harish Kumar,Station_Master,2,STN102
GOVT0010,Anita Kumari,Freight_Operator,2,STN043
GOVT0011,Sanjay Tiwari,Track_Manager,2,STN064
GOVT0012,Manisha Joshi,Section_Controller,2,STN009
GOVT0013,Deepak Chawla,Freight_Operator,2,STN044
GOVT0014,Kiran Bala,Section_Controller,2,STN042
GOVT0015,Ritesh Arora,Freight_Operator,2,STN045
GOVT0016,Nidhi Malhotra,Section_Controller,2,STN130
GOVT0017,Arvind Kaul,Station_Master,2,STN053
GOVT0018,Sunita Reddy,Track_Manager,2,STN048
GOVT0019,Pankaj Yadav,Station_Master,2,STN088
GOVT0020,Ritu Sood,Station_Master,2,STN004
GOVT0021,Ajay Thakur,Track_Manager,2,STN005
GOVT0022,Meenakshi Lamba,Track_Manager,2,STN082
GOVT0023,Harpreet Kaur,Track_Manager,2,STN104
GOVT0024,Vinod Chauhan,Freight_Operator,2,STN123
GOVT0025,Shalini Bhatia,Station_Master,2,STN071
GOVT0026,Ankit Kapoor,Freight_Operator,2,STN114
GOVT0027,Sapna Gill,Freight_Operator,2,STN133
GOVT0028,Navdeep Khanna,Track_Manager,2,STN037
GOVT0029,Preeti Garg,Freight_Operator,2,STN080
GOVT0030,Manoj Bansal,Freight_Operator,2,STN069
GOVT0031,Alok Saini,Section_Controller,2,STN119
GOVT0032,Poonam Yadav,Freight_Operator,2,STN134
GOVT0033,Kapil Dev,Track_Manager,2,STN096
GOVT0034,Rashmi Saxena,Station_Master,2,STN095
GOVT0035,Abhishek Jain,Station_Master,2,STN097
GOVT0036,Monika Kaushik,Station_Master,2,STN060
GOVT0037,Rohit Negi,Freight_Operator,2,STN120
GOVT0038,Sapna Srivastava,Station_Master,2,STN129
GOVT0039,Gaurav Tripathi,Station_Master,2,STN020
GOVT0040,Neelam Pandey,Track_Manager,2,STN035
